
SUBSTR(T.CALLER,1,7)					   COUNT(*)
SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0035988 							 27
0035989 							 51
0036209 							 38
0036306 							  2
0036309 							 16
0037061 							  1
0037068 							  2
0037128 							  2
0037253 							  2
0037255 							 26
0037256 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0037493 							 24
0038050 							 18
0038066 							 16
0038067 							 53
0038095 							  4
0038096 							 22
0038097 							 50
0038162 							  2
0038163 							 50
0038591 							  1
0038595 							  5

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0038598 							 33
0038599 							  2
0038651 							  1
0038970 							 86
0038971 							 27
0039320 							  7
0039328 							  6
0039329 							  8
0039333 							 14
0039335 							  7
0039338 							 13

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0039339 							 39
0039340 							  5
0039347 							  8
0039348 							  4
0039349 							  6
0039389 							  2
0040720 							  9
0040721 							 11
0040722 							  4
0040723 							 17
0040724 							 18

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0040726 							  7
0040727 							  9
0040729 							  3
00414e4 							  3
0041534 							  2
00416c6 							  3
0041763 							 24
0041764 							 63
0041765 							 23
0041774 							  3
0041786 							 16

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0041787 							 33
0041788 							 32
0041792 							 41
0041793 							  5
0041794 							  9
0041795 							  2
0041796 							  4
0042060 							 40
0042072 							 14
0042073 							 15
0042077 							 44

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0042190 							  9
0042191 							  4
0043660 							  4
0043664 							  1
0043699 							 39
0044127 							  1
0044161 							  1
0044163 							  1
0044208 							  1
0044289 							  1
0044494 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044554 							  1
0044762 							 32
0044770 							197
0044771 							154
0044772 							197
0044773 							209
0044774 							241
0044775 							189
0044776 							110
0044777 							 72
0044778 							166

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044779 							142
0044780 							 27
0044781 							175
