
SUBSTR(T.CALLED,1,7)					   COUNT(*)
0018213 							  1
0018322 							  3
0018432 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018437 							  1
0018438 							  4
0018458 							  1
0018479 							  5
0018502 							  5
0018503 							  4
0018507 							  3
0018563 							  1
0018578 							  1
0018597 							  5
0018599 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0018644 							  2
0018646 							  1
0018656 							  1
0018702 							  2
0019012 							  3
0019013 							  1
0019014 							  1
0019032 							 25
0019035 							  1
0019037 							  9
0019047 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019049 							  3
0019053 							  6
0019055 							  4
0019057 							  1
0019059 							  2
0019077 							  8
0019093 							  3
0019096 							 10
0019097 							 20
0019099 							 11
0019102 							 11

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019103 							  1
0019104 							  5
0019105 							 33
0019106 							  9
0019107 							  1
0019109 							  1
0019128 							  2
0019132 							  3
0019133 							 26
0019135 							 79
0019136 							 12

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019143 							  1
0019148 							  1
0019153 							  1
0019158 							  5
0019168 							  5
0019173 							  4
0019175 							  1
0019176 							  7
0019179 							  1
0019182 							 11
0019183 							 26

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019184 							  1
0019185 							  1
0019186 							  3
0019192 							  5
0019197 							  4
0019198 							  1
0019203 							  5
0019208 							  4
0019209 							  2
0019312 							108
0019313 							 22

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019314 							  1
0019315 							 16
0019316 							 40
0019319 							  2
0019362 							  2
0019373 							  2
0019374 							  2
0019403 							  3
0019493 							  1
0019499 							  1
0019512 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019514 							  5
0019518 							  1
0019562 							 24
0019563 							  5
0019647 							  1
0019723 							  1
0019725 							  1
0019726 							  1
0019729 							 13
0019734 							  1
0019737 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0019739 							  5
0019782 							  2
0019785 							  4
0019857 							  1
0019990 							  2
0020050 							  1
0020101 							 72
0020102 							 99
0020103 							 69
0020104 							155
0020105 							 60

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0020106 							141
0020107 							115
0020108 							136
0020109 							 83
0020121 							101
0020122 							 97
0020123 							135
0020124 							 92
0020125 							 57
0020126 							 94
0020127 							 65

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0020128 							209
0020129 							 70
0020166 							  2
0020201 							 11
0020225 							  2
0020226 							  2
0020233 							  1
0020235 							  1
0020253 							  2
0020255 							  1
00202a0 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0020391 							  1
00203a0 							  2
0020473 							  1
0020770 							  3
0020809 							  1
0020862 							  1
0021210 							  2
0021260 							 10
0021261 							 23
0021262 							  3
0021263 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021264 							  4
0021265 							  4
0021267 							  6
0021268 							  1
0021269 							  1
0021270 							  2
0021271 							  4
0021272 							  1
0021273 							  1
0021274 							  6
0021275 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021276 							  6
0021277 							 11
0021278 							  3
0021279 							  3
0021351 							  3
0021361 							  6
0021362 							  3
0021363 							  1
0021367 							  2
0021371 							 31
0021372 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021373 							  8
0021374 							  6
0021375 							 10
0021376 							  2
0021377 							  1
0021378 							  1
0021379 							 12
0021392 							  1
0021620 							 16
0021621 							 30
0021622 							 11

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0021623 							  6
0021675 							  9
0021696 							  5
0021697 							  9
0021698 							  6
0021821 							  1
0021891 							  4
0021892 							 10
0023233 							 13
0023480 							 16
0023530 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0023929 							  2
0024342 							  5
0024898 							 20
0024912 							  7
0024991 							 67
0024992 							 50
0025882 							  6
0027217 							  1
0027721 							  6
0027766 							  2
0027822 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0027823 							  1
0027824 							  2
0027825 							  2
0027827 							  4
0027828 							  9
0027829 							  2
0027837 							  1
0027840 							  3
0027843 							  2
0027844 							  1
0027845 							 11

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0027846 							  7
0027848 							  4
0027849 							  9
0030030 							  1
0030054 							  2
0030210 							  3
0030258 							  1
0030333 							  1
0030627 							  1
0030667 							  1
0030682 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0030693 							 51
0030694 							 62
0030697 							157
0030770 							  1
0031106 							  1
0031152 							  3
0031162 							  2
0031206 							  2
0031235 							  1
0031243 							  2
0031264 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0031299 							 11
0031365 							  1
0031406 							  1
0031464 							  5
0031521 							  1
0031534 							  1
0031570 							  1
0031596 							  2
0031610 							  6
0031611 							  5
0031612 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0031613 							  4
0031614 							  3
0031616 							  7
0031617 							  3
0031618 							 20
0031619 							  1
0031620 							  7
0031621 							  1
0031622 							  6
0031623 							  6
0031624 							 12

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0031625 							  3
0031626 							  2
0031628 							 10
0031629 							  2
0031630 							  6
0031633 							  2
0031638 							 28
0031640 							  2
0031641 							 10
0031642 							 12
0031643 							 17

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0031644 							  6
0031645 							 12
0031646 							  7
0031648 							  6
0031649 							 12
0031650 							 10
0031651 							  4
0031652 							  4
0031653 							  7
0031655 							  1
0031703 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0032115 							  1
0032118 							  2
0032240 							  1
0032253 							  3
0032472 							  1
0032479 							  4
0032484 							 34
0032485 							 21
0032486 							 14
0032487 							  4
0032494 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0032498 							  7
0033024 							  1
0033046 							  1
0033069 							  1
0033077 							  1
0033087 							  1
0033099 							  1
0033211 							  1
0033298 							  1
0033311 							  1
0033322 							 14

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0033325 							  2
0033332 							  1
0033333 							 10
0033335 							  1
0033384 							  1
0033399 							  1
0033429 							  2
0033606 							  7
0033610 							  2
0033611 							  1
0033612 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0033616 							  2
0033625 							  2
0033629 							  2
0033668 							  4
0033672 							  4
0033682 							  3
0033685 							  2
0033688 							  2
0034607 							  3
0034645 							  1
0034647 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0034656 							  2
0034666 							  1
0034667 							  3
0034669 							  5
0034678 							  1
0034685 							  3
0034697 							  1
0034699 							  1
0034917 							  1
0035196 							  1
0035350 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0035385 							 30
0035386 							 25
0035387 							 35
0035445 							  2
0035486 							  6
0035568 							 56
0035569 							112
0035799 							 25
0035840 							 50
0035841 							 11
0035844 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0035845 							 14
0035850 							 44
0035871 							  2
0035988 							 26
0035989 							 47
0036194 							  1
0036209 							 30
0036302 							  1
0036309 							  3
0036917 							  1
0037068 							  7

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0037128 							  2
0037251 							  1
0037252 							  1
0037253 							  3
0037255 							 26
0037369 							  1
0037493 							 12
0038050 							 15
0038066 							 12
0038067 							 45
0038095 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0038096 							 21
0038097 							 57
0038162 							  3
0038163 							 51
0038164 							  2
0038591 							  3
0038598 							 24
0038640 							  9
0038641 							  1
0038970 							 73
0038971 							 22

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0038975 							  3
0039023 							  2
0039239 							  1
0039312 							  1
0039320 							  8
0039328 							  9
0039329 							 11
0039333 							 18
0039334 							  1
0039335 							  7
0039338 							 26

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0039339 							 23
0039340 							  4
0039347 							  4
0039348 							  1
0039349 							  6
0039389 							  4
0039830 							  2
0039950 							  1
0040241 							  2
0040266 							  4
0040720 							 16

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0040721 							 23
0040722 							  8
0040723 							  9
0040724 							 12
0040726 							  6
0040727 							 22
0040729 							 13
0040741 							  4
0040742 							  1
0040743 							  3
0040745 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0040746 							  1
0040788 							  1
0041111 							  4
0041223 							  2
0041520 							  3
0041763 							 25
0041764 							 60
0041765 							 33
0041786 							 23
0041787 							 39
0041788 							 40

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0041789 							  3
0041792 							 15
0041793 							  7
0041794 							  2
0041795 							  1
0041796 							 10
0041797 							  5
0041861 							  2
0042060 							242
0042072 							 16
0042073 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0042076 							  2
0042077 							 18
0042190 							 20
0042363 							  1
0042366 							 50
0043650 							  3
0043660 							  7
0043664 							  9
0043676 							  3
0043688 							  3
0043699 							 37

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0043737 							  1
0044079 							  1
0044113 							  2
0044120 							  2
0044121 							  8
0044122 							  2
0044141 							  2
0044190 							  1
0044193 							  6
0044207 							  7
0044208 							 25

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044222 							  1
0044238 							  1
0044247 							  1
0044277 							 11
0044279 							  2
0044444 							  2
004444a 							  1
0044496 							  3
00444c1 							  1
00444c7 							  1
0044507 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044640 							  1
0044702 							  1
0044704 							  2
0044707 							  5
0044762 							157
0044770 							242
0044771 							162
0044772 							265
0044773 							338
0044774 							301
0044775 							255

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044776 							146
0044777 							 57
0044778 							205
0044779 							178
0044780 							 34
0044781 							158
0044782 							 58
0044783 							125
0044784 							205
0044785 							124
0044786 							 98

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044787 							163
0044788 							145
0044789 							109
0044790 							140
0044791 							 30
0044792 							183
0044793 							105
0044794 							105
0044795 							 86
0044796 							114
0044797 							213

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0044798 							 86
0044799 							 23
0044845 							  2
0044857 							  1
0044871 							  2
0044901 							  3
0044915 							  1
0044999 							  1
0045202 							  7
0045203 							  1
0045204 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045207 							 12
0045208 							  1
0045209 							  5
0045212 							  4
0045214 							  3
0045216 							  2
0045221 							  2
0045222 							 43
0045223 							  1
0045224 							  1
0045226 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045227 							  1
0045228 							  1
0045232 							  6
0045233 							  9
0045234 							 15
0045242 							  7
0045244 							 16
0045246 							  3
0045248 							  2
0045251 							  4
0045253 							  2

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045255 							  1
0045256 							  2
0045259 							 17
0045261 							  9
0045262 							  8
0045263 							  7
0045264 							  1
0045265 							 28
0045266 							  3
0045267 							 37
0045268 							  6

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045269 							  1
0045271 							  1
0045272 							  8
0045273 							  5
0045274 							  2
0045275 							  7
0045276 							  5
0045278 							  2
0045279 							 19
0045281 							  2
0045282 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045283 							  6
0045284 							  8
0045285 							 13
0045286 							 15
0045288 							  3
0045289 							 17
0045292 							  3
0045294 							  5
0045296 							  9
0045298 							  2
0045302 							  3

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045303 							  4
0045306 							  6
0045307 							  2
0045308 							  2
0045311 							 12
0045312 							  7
0045316 							  3
0045317 							  2
0045326 							  3
0045328 							  4
0045388 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045401 							  7
0045405 							  1
0045406 							  1
0045409 							  2
0045411 							 15
0045412 							  4
0045414 							  4
0045415 							  4
0045469 							  2
0045483 							  4
0045501 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045504 							  5
0045505 							  5
0045508 							  1
0045512 							 25
0045513 							 18
0045515 							 42
0045518 							  3
0045528 							  3
0045580 							  3
0045601 							  6
0045602 							  5

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045603 							  2
0045606 							  3
0045608 							  4
0045609 							  1
0045612 							  1
0045616 							  9
0045618 							 17
0045619 							 10
0045759 							  1
0045761 							  3
0045769 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0045963 							  1
0046067 							  2
0046073 							  2
0046161 							  4
0046164 							  1
0046176 							  1
0046206 							  2
0046313 							  3
0046314 							  2
0046315 							  1
0046350 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0046373 							  1
0046407 							  2
0046409 							  2
0046465 							  5
0046467 							  1
0046520 							  1
0046550 							  1
0046570 							  1
0046701 							  2
0046702 							 52
0046703 							 44

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0046704 							289
0046705 							 12
0046706 							 14
0046707 							 61
0046708 							  2
0046709 							 12
0046722 							  1
0046728 							  1
0046730 							 11
0046731 							  1
0046733 							 10

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0046734 							  2
0046735 							323
0046736 							367
0046737 							421
0046738 							  5
0046739 							470
0046756 							  3
0046761 							  1
0046762 							379
0046763 							  1
0046765 							  9

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0046767 							  1
0046768 							 24
0046853 							  4
0046855 							  4
0046858 							  1
0046860 							  1
0046861 							  3
0046870 							  1
0046871 							  2
0046874 							  1
0046876 							  1

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047223 							  1
0047257 							  3
0047400 							  1
0047404 							 16
0047410 							  7
0047411 							  3
0047412 							 19
0047414 							  5
0047415 							  7
0047450 							  4
0047452 							 34

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047454 							 10
0047456 							 23
0047464 							  6
0047466 							  2
0047470 							  1
0047472 							 18
0047473 							 72
0047476 							  2
0047478 							  7
0047480 							 23
0047481 							 17

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047482 							 18
0047692 							  1
0047737 							  2
0047747 							  1
0047883 							  4
0047900 							  5
0047901 							  3
0047902 							 12
0047904 							  1
0047905 							  6
0047907 							  4

SUBSTR(T.CALLED,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0047908 							  5
0047909 							 12
0047911 							  1
